user_id,"concat(question_name,eid)",rating
dmb72,j2d_arrays1237,2
dmb72,j2d_arrays1243,3
dmb72,j2d_arrays1500,0
dmb72,j2d_arrays1468,0
dmb72,j2d_arrays1488,0
dmb72,j2d_arrays1490,0
dmb72,j2d_arrays1491,0
dmb72,j2d_arrays1493,0
dmb72,j2d_arrays1494,0
dmb72,j2d_arrays1244,3
dmb72,j2d_arrays1239,2
dmb72,j2d_arrays1238,2
dmb72,j2d_arrays1208,0
dmb72,jarray1237,2
dmb72,jarray1243,0
dmb72,jarray1500,0
dmb72,jarray1469,0
dmb72,jarray1484,0
dmb72,jarray1487,0
dmb72,jarray1488,2
dmb72,jarray1490,2
dmb72,jarray1491,1
dmb72,jarray1493,2
dmb72,jarray1244,0
dmb72,jarray1239,3
dmb72,jarray1238,3
dmb72,jarray2237,2
dmb72,jarray2243,0
dmb72,jarray2500,0
dmb72,jarray2469,1
dmb72,jarray2485,1
dmb72,jarray2490,2
dmb72,jarray2244,0
dmb72,jarray2239,3
dmb72,jarray2238,3
dmb72,jarray4237,2
dmb72,jarray4243,1
dmb72,jarray4500,1
dmb72,jarray4484,1
dmb72,jarray4485,1
dmb72,jarray4491,2
dmb72,jarray4236,1
dmb72,jarray4235,1
dmb72,jarray4244,1
dmb72,jarray4239,3
dmb72,jarray4238,3
dmb72,jbankaccount240,0
dmb72,jbankaccount212,2
dmb72,jbankaccount210,3
dmb72,jbankaccount501,1
dmb72,jbankaccount480,0
dmb72,jbankaccount489,0
dmb72,jbankaccount220,0
dmb72,jbankaccount213,1
dmb72,jbankaccount211,1
dmb72,jbankaccount502,1
dmb72,jbankaccount215,0
dmb72,jbankaccount207,1
dmb72,jba_ques240,0
dmb72,jba_ques212,3
dmb72,jba_ques210,3
dmb72,jba_ques498,1
dmb72,jba_ques501,1
dmb72,jba_ques480,0
dmb72,jba_ques213,0
dmb72,jba_ques211,2
dmb72,jba_ques207,1
dmb72,jboolean_operators1230,2
dmb72,jboolean_operators1231,2
dmb72,jboolean_operators1463,2
dmb72,jboolean_operators1464,3
dmb72,jboolean_operators1469,2
dmb72,jboolean_operators1473,3
dmb72,jboolean_operators1487,0
dmb72,jboolean_var229,3
dmb72,jboolean_var230,3
dmb72,jboolean_var231,3
dmb72,jboolean_var463,2
dmb72,jboolean_var219,0
dmb72,jboolean_var469,1
dmb72,jboolean_var214,2
dmb72,jboolean_var494,2
dmb72,jclass1212,2
dmb72,jclass1501,1
dmb72,jclass1213,2
dmb72,jclass1211,1
dmb72,jclass1494,0
dmb72,jclass1215,0
dmb72,jclass1207,1
dmb72,jclass1208,0
dmb72,jclasses_constructor212,3
dmb72,jclasses_constructor210,3
dmb72,jclasses_constructor501,1
dmb72,jclasses_constructor480,0
dmb72,jclasses_constructor213,1
dmb72,jclasses_constructor211,2
dmb72,jclasses_constructor502,0
dmb72,jclasses_constructor207,0
dmb72,jdouble1218,3
dmb72,jdouble1498,0
dmb72,jdouble1468,1
dmb72,jdouble1489,0
dmb72,jdouble1220,2
dmb72,jdouble1215,3
dmb72,jdouble1207,1
